# Vg      Vsd      Conductance
-0.50000000 0.03177258 0.00030461
-0.50000000 0.03511706 0.00030463
-0.50000000 0.03846154 0.00030465
-0.50000000 0.04180602 0.00030466
-0.50000000 0.04515050 0.00030468
-0.50000000 0.04849498 0.00030470
-0.50000000 0.05183946 0.00030472
-0.50000000 0.05518395 0.00030473
-0.50000000 0.05852843 0.00030474
-0.50000000 0.06187291 0.00030476
-0.50000000 0.06521739 0.00030477
-0.50000000 0.06856187 0.00030478
-0.50000000 0.07190635 0.00030479
-0.50000000 0.07525084 0.00030481
-0.50000000 0.07859532 0.00030482
-0.50000000 0.08193980 0.00030483
-0.50000000 0.08528428 0.00030484
-0.50000000 0.08862876 0.00030485
-0.50000000 0.09197324 0.00030486
-0.50000000 0.09531773 0.00030486
-0.50000000 0.09866221 0.00030487
-0.50000000 0.10200669 0.00030488
-0.50000000 0.10535117 0.00030489
-0.50000000 0.10869565 0.00030490
-0.50000000 0.11204013 0.00030490
-0.50000000 0.11538462 0.00030491
-0.50000000 0.11872910 0.00030491
-0.50000000 0.12207358 0.00030492
-0.50000000 0.12541806 0.00030492
-0.50000000 0.12876254 0.00030493
-0.50000000 0.13210702 0.00030493
-0.50000000 0.13545151 0.00030494
-0.50000000 0.13879599 0.00030495
-0.50000000 0.14214047 0.00030495
-0.50000000 0.14548495 0.00030495
-0.50000000 0.14882943 0.00030495
-0.50000000 0.15217391 0.00030495
-0.50000000 0.15551839 0.00030496
-0.50000000 0.15886288 0.00030496
-0.50000000 0.16220736 0.00030496
-0.50000000 0.16555184 0.00030496
-0.50000000 0.16889632 0.00030497
-0.50000000 0.17224080 0.00030497
-0.50000000 0.17558528 0.00030497
-0.50000000 0.17892977 0.00030497
-0.50000000 0.18227425 0.00030497
-0.50000000 0.18561873 0.00030497
-0.50000000 0.18896321 0.00030497
-0.50000000 0.19230769 0.00030497
-0.50000000 0.19565217 0.00030497
-0.50000000 0.19899666 0.00030497
-0.50000000 0.20234114 0.00030497
-0.50000000 0.20568562 0.00030497
-0.50000000 0.20903010 0.00030497
-0.50000000 0.21237458 0.00030497
-0.50000000 0.21571906 0.00030496
-0.50000000 0.21906355 0.00030496
-0.50000000 0.22240803 0.00030496
-0.50000000 0.22575251 0.00030496
-0.50000000 0.22909699 0.00030496
-0.50000000 0.23244147 0.00030495
-0.50000000 0.23578595 0.00030495
-0.50000000 0.23913043 0.00030495
-0.50000000 0.24247492 0.00030494
-0.50000000 0.24581940 0.00030494
-0.50000000 0.24916388 0.00030493
-0.50000000 0.25250836 0.00030493
-0.50000000 0.25585284 0.00030492
-0.50000000 0.25919732 0.00030492
-0.50000000 0.26254181 0.00030491
-0.50000000 0.26588629 0.00030490
-0.50000000 0.26923077 0.00030490
-0.50000000 0.27257525 0.00030489
-0.50000000 0.27591973 0.00030488
-0.50000000 0.27926421 0.00030487
-0.50000000 0.28260870 0.00030486
-0.50000000 0.28595318 0.00030486
-0.50000000 0.28929766 0.00030485
-0.50000000 0.29264214 0.00030484
-0.50000000 0.29598662 0.00030482
-0.50000000 0.29933110 0.00030481
-0.50000000 0.30267559 0.00030480
-0.50000000 0.30602007 0.00030478
-0.50000000 0.30936455 0.00030477
-0.50000000 0.31270903 0.00030475
-0.50000000 0.31605351 0.00030474
-0.50000000 0.31939799 0.00030472
-0.50000000 0.32274247 0.00030470
-0.50000000 0.32608696 0.00030468
-0.50000000 0.32943144 0.00030466
-0.50000000 0.33277592 0.00030463
-0.50000000 0.33612040 0.00030461
-0.50000000 0.33946488 0.00030459
-0.50000000 0.34280936 0.00030456
-0.50000000 0.34615385 0.00030453
-0.50000000 0.34949833 0.00030450
-0.50000000 0.35284281 0.00030447
-0.50000000 0.35618729 0.00030443
-0.50000000 0.35953177 0.00030439
-0.50000000 0.36287625 0.00030435
-0.50000000 0.36622074 0.00030431
-0.50000000 0.36956522 0.00030427
-0.50000000 0.37290970 0.00030422
-0.50000000 0.37625418 0.00030417
-0.50000000 0.37959866 0.00030411
-0.50000000 0.38294314 0.00030405
-0.50000000 0.38628763 0.00030399
-0.50000000 0.38963211 0.00030392
-0.50000000 0.39297659 0.00030384
-0.50000000 0.39632107 0.00030376
-0.50000000 0.39966555 0.00030368
-0.50000000 0.40301003 0.00030359
-0.50000000 0.40635452 0.00030349
-0.50000000 0.40969900 0.00030338
-0.50000000 0.41304348 0.00030327
-0.50000000 0.41638796 0.00030314
-0.50000000 0.41973244 0.00030300
-0.50000000 0.42307692 0.00030285
-0.50000000 0.42642140 0.00030268
-0.50000000 0.42976589 0.00030250
-0.50000000 0.43311037 0.00030230
-0.50000000 0.43645485 0.00030209
-0.50000000 0.43979933 0.00030185
-0.50000000 0.44314381 0.00030158
-0.50000000 0.44648829 0.00030127
-0.50000000 0.44983278 0.00030094
-0.50000000 0.45317726 0.00030056
-0.50000000 0.45652174 0.00030013
-0.50000000 0.45986622 0.00029964
-0.50000000 0.46321070 0.00029907
-0.50000000 0.46655518 0.00029842
-0.50000000 0.46989967 0.00029764
-0.50000000 0.47324415 0.00029672
-0.50000000 0.47658863 0.00029559
-0.50000000 0.47993311 0.00029419
-0.50000000 0.48327759 0.00029239
-0.50000000 0.48662207 0.00029002
-0.50000000 0.48996656 0.00028676
-0.50000000 0.49331104 0.00028213
-0.50000000 0.49665552 0.00027538
-0.50000000 0.50000000 0.00026543

-0.49665552 -0.50000000 0.00086346
-0.49665552 -0.49665552 0.00084358
-0.49665552 -0.49331104 0.00082309
-0.49665552 -0.48996656 0.00080436
-0.49665552 -0.48662207 0.00078832
-0.49665552 -0.48327759 0.00077499
-0.49665552 -0.47993311 0.00076476
-0.49665552 -0.47658863 0.00075791
-0.49665552 -0.47324415 0.00075388
-0.49665552 -0.46989967 0.00075170
-0.49665552 -0.46655518 0.00075055
-0.49665552 -0.46321070 0.00074991
-0.49665552 -0.45986622 0.00074946
-0.49665552 -0.45652174 0.00074905
-0.49665552 -0.45317726 0.00074860
-0.49665552 -0.44983278 0.00074802
-0.49665552 -0.44648829 0.00074728
-0.49665552 -0.44314381 0.00074626
-0.49665552 -0.43979933 0.00074485
-0.49665552 -0.43645485 0.00074287
-0.49665552 -0.43311037 0.00074010
-0.49665552 -0.42976589 0.00073614
-0.49665552 -0.42642140 0.00073052
-0.49665552 -0.42307692 0.00072265
-0.49665552 -0.41973244 0.00071200
-0.49665552 -0.41638796 0.00069851
-0.49665552 -0.41304348 0.00068295
-0.49665552 -0.40969900 0.00066663
-0.49665552 -0.40635452 0.00065065
-0.49665552 -0.40301003 0.00063577
-0.49665552 -0.39966555 0.00062314
-0.49665552 -0.39632107 0.00061392
-0.49665552 -0.39297659 0.00060821
-0.49665552 -0.38963211 0.00060510
-0.49665552 -0.38628763 0.00060356
-0.49665552 -0.38294314 0.00060283
-0.49665552 -0.37959866 0.00060249
-0.49665552 -0.37625418 0.00060234
-0.49665552 -0.37290970 0.00060228
-0.49665552 -0.36956522 0.00060225
-0.49665552 -0.36622074 0.00060222
-0.49665552 -0.36287625 0.00060219
-0.49665552 -0.35953177 0.00060215
-0.49665552 -0.35618729 0.00060209
-0.49665552 -0.35284281 0.00060201
-0.49665552 -0.34949833 0.00060188
-0.49665552 -0.34615385 0.00060172
-0.49665552 -0.34280936 0.00060153
-0.49665552 -0.33946488 0.00060127
-0.49665552 -0.33612040 0.00060096
-0.49665552 -0.33277592 0.00060058
-0.49665552 -0.32943144 0.00060011
-0.49665552 -0.32608696 0.00059954
-0.49665552 -0.32274247 0.00059887
-0.49665552 -0.31939799 0.00059804
-0.49665552 -0.31605351 0.00059707
-0.49665552 -0.31270903 0.00059592
-0.49665552 -0.30936455 0.00059455
-0.49665552 -0.30602007 0.00059294
-0.49665552 -0.30267559 0.00059105
-0.49665552 -0.29933110 0.00058882
-0.49665552 -0.29598662 0.00058622
-0.49665552 -0.29264214 0.00058317
-0.49665552 -0.28929766 0.00057961
-0.49665552 -0.28595318 0.00057546
-0.49665552 -0.28260870 0.00057065
-0.49665552 -0.27926421 0.00056508
-0.49665552 -0.27591973 0.00055866
-0.49665552 -0.27257525 0.00055129
-0.49665552 -0.26923077 0.00054286
-0.49665552 -0.26588629 0.00053329
-0.49665552 -0.26254181 0.00052247
-0.49665552 -0.25919732 0.00051034
-0.49665552 -0.25585284 0.00049686
-0.49665552 -0.25250836 0.00048201
-0.49665552 -0.24916388 0.00046581
-0.49665552 -0.24581940 0.00044834
-0.49665552 -0.24247492 0.00042978
-0.49665552 -0.23913043 0.00041048
-0.49665552 -0.23578595 0.00039101
-0.49665552 -0.23244147 0.00037221
-0.49665552 -0.22909699 0.00035493
-0.49665552 -0.22575251 0.00033983
-0.49665552 -0.22240803 0.00032730
-0.49665552 -0.21906355 0.00031765
-0.49665552 -0.21571906 0.00031089
-0.49665552 -0.21237458 0.00030651
-0.49665552 -0.20903010 0.00030359
-0.49665552 -0.20568562 0.00030121
-0.49665552 -0.20234114 0.00029856
-0.49665552 -0.19899666 0.00029494
-0.49665552 -0.19565217 0.00028986
-0.49665552 -0.19230769 0.00028349
-0.49665552 -0.18896321 0.00027708
-0.49665552 -0.18561873 0.00027210
-0.49665552 -0.18227425 0.00026826
-0.49665552 -0.17892977 0.00026407
-0.49665552 -0.17558528 0.00025973
-0.49665552 -0.17224080 0.00025700
-0.49665552 -0.16889632 0.00025610
-0.49665552 -0.16555184 0.00025554
-0.49665552 -0.16220736 0.00025506
-0.49665552 -0.15886288 0.00025551
-0.49665552 -0.15551839 0.00025651
-0.49665552 -0.15217391 0.00025721
-0.49665552 -0.14882943 0.00025787
-0.49665552 -0.14548495 0.00025881
-0.49665552 -0.14214047 0.00026019
-0.49665552 -0.13879599 0.00026318
-0.49665552 -0.13545151 0.00026861
-0.49665552 -0.13210702 0.00027467
-0.49665552 -0.12876254 0.00027835
-0.49665552 -0.12541806 0.00027826
-0.49665552 -0.12207358 0.00027543
-0.49665552 -0.11872910 0.00027193
-0.49665552 -0.11538462 0.00026881
-0.49665552 -0.11204013 0.00026678
-0.49665552 -0.10869565 0.00026761
-0.49665552 -0.10535117 0.00027225
-0.49665552 -0.10200669 0.00027913
-0.49665552 -0.09866221 0.00028587
-0.49665552 -0.09531773 0.00029120
-0.49665552 -0.09197324 0.00029496
-0.49665552 -0.08862876 0.00029748
-0.49665552 -0.08528428 0.00029916
-0.49665552 -0.08193980 0.00030030
-0.49665552 -0.07859532 0.00030109
-0.49665552 -0.07525084 0.00030166
-0.49665552 -0.07190635 0.00030209
-0.49665552 -0.06856187 0.00030243
-0.49665552 -0.06521739 0.00030270
-0.49665552 -0.06187291 0.00030292
-0.49665552 -0.05852843 0.00030310
-0.49665552 -0.05518395 0.00030326
-0.49665552 -0.05183946 0.00030340
-0.49665552 -0.04849498 0.00030352
-0.49665552 -0.04515050 0.00030362
-0.49665552 -0.04180602 0.00030372
-0.49665552 -0.03846154 0.00030380
-0.49665552 -0.03511706 0.00030388
-0.49665552 -0.03177258 0.00030395
-0.49665552 -0.02842809 0.00030401
-0.49665552 -0.02508361 0.00030407
-0.49665552 -0.02173913 0.00030412
-0.49665552 -0.01839465 0.00030417
-0.49665552 -0.01505017 0.00030422
-0.49665552 -0.01170569 0.00030426
-0.49665552 -0.00836120 0.00030430
-0.49665552 -0.00501672 0.00030434
-0.49665552 -0.00167224 0.00030437
-0.49665552 0.00167224 0.00030440
-0.49665552 0.00501672 0.00030443
-0.49665552 0.00836120 0.00030446
-0.49665552 0.01170569 0.00030449
-0.49665552 0.01505017 0.00030452
-0.49665552 0.01839465 0.00030454
-0.49665552 0.02173913 0.00030456
-0.49665552 0.02508361 0.00030459
-0.49665552 0.02842809 0.00030461
-0.49665552 0.03177258 0.00030463
-0.49665552 0.03511706 0.00030465
-0.49665552 0.03846154 0.00030466
-0.49665552 0.04180602 0.00030468
-0.49665552 0.04515050 0.00030470
-0.49665552 0.04849498 0.00030472
-0.49665552 0.05183946 0.00030473
-0.49665552 0.05518395 0.00030474
-0.49665552 0.05852843 0.00030476
-0.49665552 0.06187291 0.00030477
-0.49665552 0.06521739 0.00030478
-0.49665552 0.06856187 0.00030479
-0.49665552 0.07190635 0.00030481
-0.49665552 0.07525084 0.00030482
-0.49665552 0.07859532 0.00030483
-0.49665552 0.08193980 0.00030484
-0.49665552 0.08528428 0.00030485
-0.49665552 0.08862876 0.00030486
-0.49665552 0.09197324 0.00030486
-0.49665552 0.09531773 0.00030487
-0.49665552 0.09866221 0.00030488
-0.49665552 0.10200669 0.00030489
-0.49665552 0.10535117 0.00030490
-0.49665552 0.10869565 0.00030490
-0.49665552 0.11204013 0.00030491
-0.49665552 0.11538462 0.00030491
-0.49665552 0.11872910 0.00030492
-0.49665552 0.12207358 0.00030492
-0.49665552 0.12541806 0.00030493
-0.49665552 0.12876254 0.00030493
-0.49665552 0.13210702 0.00030494
-0.49665552 0.13545151 0.00030495
-0.49665552 0.13879599 0.00030495
-0.49665552 0.14214047 0.00030495
-0.49665552 0.14548495 0.00030495
-0.49665552 0.14882943 0.00030495
-0.49665552 0.15217391 0.00030496
-0.49665552 0.15551839 0.00030496
-0.49665552 0.15886288 0.00030496
-0.49665552 0.16220736 0.00030496
-0.49665552 0.16555184 0.00030497
-0.49665552 0.16889632 0.00030497
-0.49665552 0.17224080 0.00030497
-0.49665552 0.17558528 0.00030497
-0.49665552 0.17892977 0.00030497
-0.49665552 0.18227425 0.00030497
-0.49665552 0.18561873 0.00030497
-0.49665552 0.18896321 0.00030497
-0.49665552 0.19230769 0.00030497
-0.49665552 0.19565217 0.00030497
-0.49665552 0.19899666 0.00030497
-0.49665552 0.20234114 0.00030497
-0.49665552 0.20568562 0.00030497
-0.49665552 0.20903010 0.00030497
-0.49665552 0.21237458 0.00030496
-0.49665552 0.21571906 0.00030496
-0.49665552 0.21906355 0.00030496
-0.49665552 0.22240803 0.00030496
-0.49665552 0.22575251 0.00030496
-0.49665552 0.22909699 0.00030495
-0.49665552 0.23244147 0.00030495
-0.49665552 0.23578595 0.00030495
-0.49665552 0.23913043 0.00030494
-0.49665552 0.24247492 0.00030494
-0.49665552 0.24581940 0.00030493
-0.49665552 0.24916388 0.00030493
-0.49665552 0.25250836 0.00030492
-0.49665552 0.25585284 0.00030492
-0.49665552 0.25919732 0.00030491
-0.49665552 0.26254181 0.00030490
-0.49665552 0.26588629 0.00030490
-0.49665552 0.26923077 0.00030489
-0.49665552 0.27257525 0.00030488
-0.49665552 0.27591973 0.00030487
-0.49665552 0.27926421 0.00030486
-0.49665552 0.28260870 0.00030486
-0.49665552 0.28595318 0.00030485
-0.49665552 0.28929766 0.00030484
-0.49665552 0.29264214 0.00030482
-0.49665552 0.29598662 0.00030481
-0.49665552 0.29933110 0.00030480
-0.49665552 0.30267559 0.00030478
-0.49665552 0.30602007 0.00030477
-0.49665552 0.30936455 0.00030475
-0.49665552 0.31270903 0.00030474
-0.49665552 0.31605351 0.00030472
-0.49665552 0.31939799 0.00030470
-0.49665552 0.32274247 0.00030468
-0.49665552 0.32608696 0.00030466
-0.49665552 0.32943144 0.00030463
-0.49665552 0.33277592 0.00030461
-0.49665552 0.33612040 0.00030459
-0.49665552 0.33946488 0.00030456
-0.49665552 0.34280936 0.00030453
-0.49665552 0.34615385 0.00030450
-0.49665552 0.34949833 0.00030447
-0.49665552 0.35284281 0.00030443
-0.49665552 0.35618729 0.00030439
-0.49665552 0.35953177 0.00030435
-0.49665552 0.36287625 0.00030431
-0.49665552 0.36622074 0.00030427
-0.49665552 0.36956522 0.00030422
-0.49665552 0.37290970 0.00030417
-0.49665552 0.37625418 0.00030411
-0.49665552 0.37959866 0.00030405
-0.49665552 0.38294314 0.00030399
-0.49665552 0.38628763 0.00030392
-0.49665552 0.38963211 0.00030384
-0.49665552 0.39297659 0.00030376
-0.49665552 0.39632107 0.00030368
-0.49665552 0.39966555 0.00030359
-0.49665552 0.40301003 0.00030349
-0.49665552 0.40635452 0.00030338
-0.49665552 0.40969900 0.00030327
-0.49665552 0.41304348 0.00030314
-0.49665552 0.41638796 0.00030300
-0.49665552 0.41973244 0.00030285
-0.49665552 0.42307692 0.00030268
-0.49665552 0.42642140 0.00030250
-0.49665552 0.42976589 0.00030230
-0.49665552 0.43311037 0.00030209
-0.49665552 0.43645485 0.00030185
-0.49665552 0.43979933 0.00030158
-0.49665552 0.44314381 0.00030127
-0.49665552 0.44648829 0.00030094
-0.49665552 0.44983278 0.00030056
-0.49665552 0.45317726 0.00030013
-0.49665552 0.45652174 0.00029964
-0.49665552 0.45986622 0.00029907
-0.49665552 0.46321070 0.00029842
-0.49665552 0.46655518 0.00029764
-0.49665552 0.46989967 0.00029672
-0.49665552 0.47324415 0.00029559
-0.49665552 0.47658863 0.00029419
-0.49665552 0.47993311 0.00029239
-0.49665552 0.48327759 0.00029002
-0.49665552 0.48662207 0.00028676
-0.49665552 0.48996656 0.00028213
-0.49665552 0.49331104 0.00027538
-0.49665552 0.49665552 0.00026543
-0.49665552 0.50000000 0.00025103

-0.49331104 -0.50000000 0.00084358
-0.49331104 -0.49665552 0.00082309
-0.49331104 -0.49331104 0.00080436
-0.49331104 -0.48996656 0.00078832
-0.49331104 -0.48662207 0.00077499
-0.49331104 -0.48327759 0.00076476
-0.49331104 -0.47993311 0.00075791
-0.49331104 -0.47658863 0.00075388
-0.49331104 -0.47324415 0.00075170
-0.49331104 -0.46989967 0.00075055
-0.49331104 -0.46655518 0.00074991
-0.49331104 -0.46321070 0.00074946
-0.49331104 -0.45986622 0.00074905
-0.49331104 -0.45652174 0.00074860
-0.49331104 -0.45317726 0.00074802
-0.49331104 -0.44983278 0.00074728
-0.49331104 -0.44648829 0.00074626
-0.49331104 -0.44314381 0.00074485
-0.49331104 -0.43979933 0.00074287
-0.49331104 -0.43645485 0.00074010
-0.49331104 -0.43311037 0.00073614
-0.49331104 -0.42976589 0.00073052
-0.49331104 -0.42642140 0.00072265
-0.49331104 -0.42307692 0.00071200
-0.49331104 -0.41973244 0.00069851
